[08-Jul-2026 13:00:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 13:05:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 13:10:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 13:15:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 13:20:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 13:25:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 13:30:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 13:35:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 13:40:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 13:45:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 13:50:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 13:55:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 14:00:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 14:05:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 14:10:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 14:15:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 14:20:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 14:25:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 14:30:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 14:35:16 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 14:40:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 14:45:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 14:50:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 14:55:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 15:00:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 15:05:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 15:10:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 15:15:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 15:20:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 15:25:05 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
[08-Jul-2026 15:30:06 Asia/Dhaka] Router AR Link is offline. Skipping sync for 561 users until next run.
