[2026-07-18 16:49:34] [INFO] Router Dispatch - Method: POST, Path: /api/chat/visitor/channelInfo
[2026-07-18 16:49:34] [INFO] Router Dispatch - Method: GET, Path: /api/v6/Comm/getVersionInfoV4
[2026-07-18 16:49:34] [INFO] Router Dispatch - Method: GET, Path: /api/common/menus
[2026-07-18 16:49:34] [INFO] Router Dispatch - Method: GET, Path: /api/new-version/daily/rooms/1
[2026-07-18 16:49:34] [INFO] Router Dispatch - Method: GET, Path: /api/app/getserviceinfo
[2026-07-18 16:49:34] [INFO] Router Dispatch - Method: GET, Path: /api/app/contract/getMarketList
[2026-07-18 16:49:34] [INFO] Router Dispatch - Method: GET, Path: /api/currency/getTradeCurrencyList
[2026-07-18 16:49:34] [INFO] Router Dispatch - Method: GET, Path: /api/seller/index/GetSellerConfigAll
[2026-07-18 16:49:34] [INFO] Router Dispatch - Method: GET, Path: /api/api/exchangerateuserconfig!get.action
[2026-07-18 16:49:34] [INFO] Router Dispatch - Method: GET, Path: /api/set/appSysSet/getKeyByParam
[2026-07-18 16:49:34] [INFO] Router Dispatch - Method: POST, Path: /api/system/systemConfigs/getCustomerServiceLink
[2026-07-18 16:49:34] [INFO] Router Dispatch - Method: POST, Path: /api/heartbeat
[2026-07-18 18:12:22] [INFO] Router Dispatch - Method: POST, Path: /api/graphql
[2026-07-18 18:12:24] [INFO] Router Dispatch - Method: GET, Path: /api/v1/config
[2026-07-18 18:12:24] [INFO] Router Dispatch - Method: GET, Path: /api/env
[2026-07-18 18:12:24] [INFO] Router Dispatch - Method: GET, Path: /api/health
[2026-07-18 18:12:24] [INFO] Router Dispatch - Method: GET, Path: /api/graphql
